id,sku,name,description,stock,batch_number,expiration_date,requires_batch_tracking,price,average_cost,category_id,supplier_id,base_unit,reorder_point,aisle,storage_requirement,product_type,is_archived,created_at,updated_at,image_url,master_product_id
a1b2c3d4-e5f6-7890-abcd-1234567890ab,AJI05,Ajinomoto Ginisa Mix 16 g,Ajinomoto Ginisa Mix 16 g,54,,,pcs,31.65,,seasoning,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a2b3c4d5-e6f7-8901-bcde-2345678901bc,AJI08,Ajinomoto Ginisa Mix 100 g,Ajinomoto Ginisa Mix 100 g,48,,,pcs,36.9,,seasoning,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a3b4c5d6-e7f8-9012-cdef-3456789012cd,AJI26,Ajinomoto Crispy Fry Garlic 62 g,Ajinomoto Crispy Fry Garlic 62 g,13,,,pcs,249.23,,seasoning,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a4b5c6d7-e8f9-0123-defa-4567890123de,AJI25,Ajinomoto Sarsaya Oyster Sauce 30 g,Ajinomoto Sarsaya Oyster Sauce 30 g,24,,,pcs,32.35,,condiment,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a5b6c7d8-f9fa-1234-efab-5678901234ef,AJI45,Ajinomoto Crispy Fry Gravy Mix 20 g,Ajinomoto Crispy Fry Gravy Mix 20 g,12,,,pcs,43.48,,seasoning,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a6b7c8d9-0afb-2345-fabc-6789012345fa,AJI51,Ajinomoto Crispy Fry Original 30 g,Ajinomoto Crispy Fry Original 30 g,21,,,pcs,82.13,,seasoning,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a7b8c9da-1bfc-3456-abcd-7890123456ab,ALP02,Alpine Sterilized Milk 200 ml,Alpine Sterilized Milk 200 ml,36,,,ml,25.79,,dairy,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a8b9cadb-2cfd-4567-bcde-8901234567bc,AME01,American Garden Coconut Milk 400 ml,American Garden Coconut Milk 400 ml,24,,,ml,40.59,,condiment,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
a9bacbdc-3dfe-5678-cdef-9012345678cd,AND03,Andok’s Litson Sauce 340 g,Andok’s Litson Sauce 340 g,24,,,g,37.18,,condiment,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
aabacbdd-4eff-6789-defa-0123456789de,ANG12,Angel All-Purpose Creamer 250 ml,Angel All-Purpose Creamer 250 ml,24,,,ml,46.46,,dairy,,,,,refrigerated,standard,,2025-07-18T00:00:00Z,,,
acbacdbe-5fff-789a-efab-1234567890ef,ANL04C,Anlene Milk 3× Plain 30 g,Anlene Milk 3× Plain 30 g,12,,,g,90.24,,dairy,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
adbacebf-6000-890b-fabc-2345678901fa,ANL20Y,Anlene Milk Gold 990 g,Anlene Milk Gold 990 g,1,,,g,693.5,,dairy,,,,,room_temperature,standard,,2025-07-18T00:00:00Z,,,
